name,text,cooking_time,author_id
Борщ с курицей красный,"Отправьте курицу в кастрюлю, залейте холодной водой и поставьте на плиту. В момент закипания образуется пена. Обязательно снимите её с помощью ложки, пламя убавьте до умеренного и варите бульон под крышкой 30-40 минут. Крышку слегка приоткройте, чтобы выходил пар. Картофель нарежьте небольшими кубиками или крупной соломкой, как вам больше нравится. Лук нашинкуйте маленькими квадратиками. Морковку и свёклу измельчите от руки, либо натрите на тёрке. В сковороде разогрейте небольшое количество рафинированного растительного масла. Отправьте морковь, лук и свёклу в сковородку. Помешивая, обжаривайте около 5 минут. В сковороду добавьте томатную пасту. Вместо пасты допустимо взять помидорный соус или кетчуп. Чтобы борщ имел более сбалансированный вкус можно добавить в зажарку четверть чайной ложки сахара и неполную чайную ложку уксуса 6%. Нашинкуйте мелко зубки чеснока и зелень. Из кастрюли выньте курицу. В бульон отправьте картофель. Пламя плиты увеличьте, а после повторного закипания убавьте до умеренного. Варите картофель до готовности (от 10 до 20 минут). Далее отправьте в кастрюлю капусту. Потомите на плите пять минут. Добавьте в борщ зажарку, посолите всё по вкусу. Сделайте пламя плиты максимальным, дайте покипеть пару минут. В завершении добавьте в кастрюлю зелень и чеснок. Плиту выключите, накройте кастрюлю крышкой и дайте настояться несколько минут.",80,2
Уха из форели,"Рыбу очистите от чешуи. Из головы удалите жабры и глаза, иначе они будут горчить. Тщательно промойте рыбу под струей холодной воды. Картофель очистите, помойте и нарежьте крупными кусками. Лук помойте и очистите. Одну луковицу крупно нарежьте, другую оставьте целой. Зелень мелко порубите. Сварите рыбу. Для наваристой ухи используйте хвост и голову. Также можно добавить плавники, хребты, и стейки. Поместите рыбу в кастрюлю и залейте холодной водой. Поставьте на средний огонь и доведите до кипения. В процессе кипения будет образовываться пена, её необходимо будет снять. Как только бульон закипит, посолите и убавьте огонь, варите 20-30 минут. Бульон процедите и снова поставьте на огонь. Приготовьте овощи. В бульон опустите целый и нарезанный лук, морковь и картофель. Варите на среднем огне до готовности овощей, примерно 20 минут. Добавьте специи. За 5 минут до готовности достаньте из ухи целую луковицу, добавьте рыбу, лавровый лист и перец. Дайте настояться 3-5 минут. Положите лимон в тарелку и разлейте уху, украсив ее свежей зеленью. Лимон в уху добавляют, чтобы оттенить вкус рыбы и убрать запах тины, присущий практически всем сортам речной рыбы.",100,2
Котлеты говяжьи,"Белый хлеб или батон положите в миску. Залейте водой, чтобы он разбух. Можно хлеб или батон предварительно подсушить в духовке и измельчить его в крошку, стандарты предусматривают оба эти варианта. Добавьте в миску с хлебом мясной фарш, приготовленный самостоятельно или приобретенный готовый у проверенного производителя, соль и черный молотый перец, вымешайте массу. Мешайте фарш для котлет довольно-таки долго, потому что это влияет на плотность и качество готовых котлет, что предусмотрено в требованиях. По ГОСТу репчатый лук в состав котлет не входит, поскольку считается, что блюда с луком портятся быстрее, но если вам кажутся котлеты без лука невкусными, то можно добавить луковицу. Смоченными в холодной воде руками формируйте котлеты, по весу: 50, 75 или 100 грамм. Панируйте заготовки котлет в муке или панировочных сухарях со всех сторон. На сковороду налейте растительное масло. Разогрейте его. Обжарьте котлеты на среднем огне около 10 минут с каждой стороны, до румяной корочки. Затем, если у сковороды съемная ручка (если нет, то котлеты переложите на смазанный маслом противень), отправьте ее с котлетами в духовку, разогретую до 200 градусов, еще на 20 минут.",60,2
Оладьи на кефире,"Для приготовления теста на оладьи возьмите удобную, просторную чашу. Разбейте в чашу яйцо и добавьте сахар и соль. Количество сахара можно изменить по своему вкусу. Немного взболтайте все с помощью венчика, чтобы масса стала однородной. Затем вмешайте подготовленный кефир. Муку с содой просейте через сито, чтобы насытить кислородом. Подсыпайте муку в чашу и замешивайте тесто. В количестве муки ориентируйтесь по консистенции теста. Её может уйти чуть больше или меньше. Готовое тесто будет достаточно густое. Оно будет медленно стекать с венчика. На горячую сковороду налейте растительное масло и ложкой выкладывайте тесто. Готовьте оладьи на небольшом огне по 2-3 минуты с каждой стороны. При медленной готовке они будут хорошо подниматься и успеют пропечься внутри. Когда оладьи станут золотистого цвета, переложите их на бумажное полотенце, чтобы удалить с них лишнее масло.",90,3
Блины на молоке с яйцами,"Хорошо помытые и обсушенные яйца вбейте в глубокую миску. Обязательно мойте яйца перед использованием, так как даже на кажущейся чистой скорлупе могут находиться вредные бактерии. Лучше всего использовать моющие средства для пищевых продуктов и щетку. Добавьте к яйцам сахар и соль. Их количество регулируйте по своему вкусу, сахар, как по мне, можно уменьшить. Взбейте яйца венчиком или вилкой. Цель — просто перемешать их до однородности, так что миксер использовать не обязательно. Влейте к яичной массе около 150 мл молока, не больше. Перемешайте. Просейте в миску муку. Этим вы уберете возможный мусор, а также насытите ее кислородом, что положительно скажется на качестве выпечки. Перемешайте тесто. С небольшим количеством молока оно получится очень густым, так и надо — тесто такой консистенции легче размешать до однородности. Именно за счет этого в нем не будет комочков. Влейте в густую смесь оставшееся молоко порциями, размешивая после каждой. У вас получится совершенно однородное тесто, без комочков. По консистенции оно будет как густые сливки. Гуще делать его не надо, тогда блины будут тончайшими. Влейте растительное масло без запаха, перемешайте. Оставьте тесто постоять минут 10, тогда блины будет легче переворачивать. Разогрейте сковороду на сильном огне. Именно на раскаленной сковороде получаются самые удачные блины, которые не прилипают и хорошо снимаются. Смажьте ее каплей растительного масла. Смазывать надо будет только перед первым блином, дальше будет работать масло, содержащееся в тесте. Вылейте на сковороду порцию теста, круговыми движениями распределите его по дну. Сколько теста лить, вы поймете в процессе жарки. Жарьте блин до румяного состояния с одной стороны, затем переверните на другую. Огонь отрегулируйте так, чтобы блин жарился довольно быстро, но при этом не горел. Обычно он выше среднего. Готовый блин снимите на тарелку, можете сразу смазать его сливочным маслом.",120,3
Шарлотка с яблоками,"Вбейте яйца в миску, всыпьте к ним соль. Начните взбивать яйца на низких оборотах миксера. Когда появится пена, скорость увеличьте и начните добавлять сахар порциями. Взбивайте яйца с сахаром до пышной светлой массы. Просейте ко взбитой яичной массе муку. Вмешайте муку при помощи силиконовой лопатки (она не разрушит структура взбитой массы). Аккуратно перемешивайте движениями снизу вверх до однородности. Помните, что муки может понадобиться меньше или больше, подробнее об этом можно почитать в статье, ссылка на нее есть в конце рецепта. Готовое тесто получается как густая сметана. Разрежьте очищенные яблоки пополам. Вырежьте серединку с семенами и плодоножки. Нарежьте яблоки на кусочк. Вылейте в форму тесто. Сверху выложите нарезанные яблоки. Запекайте шарлотку в духовке, разогретой до 180°С, 30-35 минут.",55,4
Рапаны жаренные с луком,"Если рапаны замороженные – размораживаем их. Первым делом необходимо удалить желудок. Он темный, длинный и выделяется среди всех остальных частей. Ставим кастрюлю с водой, доводим до кипения. Воду нужно подсолить. Кладем рапанов в емкость и после закипания варим их четыре минуты. Если варить дольше, морепродукт станет резиновым. Извлекаем рапанов из кастрюли. После того как они остынут, режем их на средние кусочки. Нарезаем репчатый лук полукольцами. Разогреваем сковороду с маслом и обжариваем морепродукт с луком. Готовность определяем по золотистому цвету лука. Выкладываем приготовленное блюдо на тарелку, кладем сверху дольки лимона и зеленый лук.",15,4
Картофельная запеканка с куриным филе,"Сразу ставим на плиту вариться картофель. Филе моем, обсушиваем и нарезаем небольшими кусочками. На разогретую сковороду добавляем растительное масло, выкладываем нарезанное филе и обжариваем на быстром огне 5 минут. Теперь добавляем нарезанный соломкой болгарский перец. Перец можно взять разных цветов, чтобы блюдо получилось красивым и нарядным. Курицу с перцем солим, перчим по вкусу и обжариваем на среднем огне до полного испарения жидкости. Картофель солим по вкусу и варим до готовности. Отварной картофель истолочь, добавить сливочное масло и яйца. Перемешать. Для приготовления запеканки я буду использовать разъемную форму диаметром 24 см. Дно и бока формы я застелила бумагой для выпечки. Выкладываем в форму картофельное пюре и аккуратно распределяем формируя бортик, в центре делаем углубление. Выкладываем в центр начинку. Сверху посыпаем натертым сыром и отправляем в предварительно разогретую до 180 градусов духовку на 30-40 минут.",50,4
Жюльен из курицы с грибами,"Куриную грудку хорошо вымыть, обсушить, нарезать небольшими кусочками, посолить по вкусу и обжарить на сильном огне до легкой румяности. Репчатый лук нарезать кубиками, обжарить на сковороде до мягкости, добавить нарезанные грибы, посолить, поперчить по вкусу и обжарить до готовности. Если будете использовать лесные грибы для приготовления этого блюда, то перед обжаркой их необходимо отварить. Обжаренное куриное филе нарезать соломкой. Добавить к грибами и обжарить еще пару минут. На сковороде растопить сливочное масло, добавить к нему муку и хорошо перемешать. Небольшими порциями добавляем сливки, постоянно помешивая, чтобы не было комочков. Добавляем соль и черный перец по вкусу, доводим до кипения и убираем с плиты. Смешиваем приготовленный соус с грибами и курицей. Раскладываем по формочкам, сверху посыпаем натертым сыром. Кстати, если у вас нет специальных формочек для жульена их можно сделать самостоятельно из фольги. Запекаем в духовке при температуре 180 градусов 20 минут.",60,5
Курица с овощами в духовке,"Куриные ножки или бедра вымыть, обсушить. Добавляем соль, черный перец, паприку и хорошо натираем специями. Оставляем курицу мариноваться на 20-30 минут. А тем временем займемся овощами. Картофель нарежем кубиками. Морковь - кружочками. Кабачок, очистить от кожуры и нарезать кружочками. У меня кабачок молодой и я не стала его очищать от кожуры. Сладкий болгарский перец. очистить от семян и нарезать полосками. Репчатый лук - полукольцами. Перекладываем овощи в глубокую миску или сразу в форму для запекания (форму для запекания смазать растительным маслом). Добавляем соль, черный перец, куркуму и майонез. Хорошо перемешиваем. Сверху  на овощи выкладываем курицу. Закрываем фольгой и отправляем в духовку. Запекаем в духовке при температуре 180 градусов 1 ч. 20 мин.  За 10-15 минут до готовности фольгу снять чтобы блюдо подрумянилось.",120,5
